20425563,tac_plus,facebook/tac_plus,Organization,[],public,C,https://api.github.com/repos/facebook/tac_plus/languages,2014-06-03 01:20:35,"Fri, 21 Apr 2023 02:05:53 GMT",176,70,176,70,5,https://api.github.com/repos/facebook/tac_plus
20878334,facebook-php-business-sdk,facebook/facebook-php-business-sdk,Organization,[],public,PHP,https://api.github.com/repos/facebook/facebook-php-business-sdk/languages,2014-06-16 08:48:26,"Thu, 20 Apr 2023 20:02:07 GMT",742,508,742,508,10,https://api.github.com/repos/facebook/facebook-php-business-sdk
22231878,wdt,facebook/wdt,Organization,[],public,C++,https://api.github.com/repos/facebook/wdt/languages,2014-07-24 21:23:34,"Thu, 20 Apr 2023 08:18:56 GMT",2771,398,2771,398,77,https://api.github.com/repos/facebook/wdt
23441030,jsx,facebook/jsx,Organization,[],public,HTML,https://api.github.com/repos/facebook/jsx/languages,2014-08-28 19:55:06,"Fri, 21 Apr 2023 09:23:43 GMT",1898,137,1898,137,48,https://api.github.com/repos/facebook/jsx
23458977,facebook-python-business-sdk,facebook/facebook-python-business-sdk,Organization,[],public,Python,https://api.github.com/repos/facebook/facebook-python-business-sdk/languages,2014-08-29 09:15:47,"Thu, 20 Apr 2023 13:33:50 GMT",1106,640,1106,640,23,https://api.github.com/repos/facebook/facebook-python-business-sdk
23674586,grocery-delivery,facebook/grocery-delivery,Organization,[],public,Ruby,https://api.github.com/repos/facebook/grocery-delivery/languages,2014-09-04 18:36:18,"Sat, 04 Feb 2023 06:25:08 GMT",148,63,148,63,4,https://api.github.com/repos/facebook/grocery-delivery
23674901,taste-tester,facebook/taste-tester,Organization,[],public,Ruby,https://api.github.com/repos/facebook/taste-tester/languages,2014-09-04 18:47:07,"Tue, 04 Apr 2023 15:31:20 GMT",137,74,137,74,14,https://api.github.com/repos/facebook/taste-tester
23674934,between-meals,facebook/between-meals,Organization,[],public,Ruby,https://api.github.com/repos/facebook/between-meals/languages,2014-09-04 18:48:13,"Wed, 19 Apr 2023 22:59:56 GMT",54,53,54,53,2,https://api.github.com/repos/facebook/between-meals
23821422,fatal,facebook/fatal,Organization,[],public,C++,https://api.github.com/repos/facebook/fatal/languages,2014-09-09 06:04:59,"Sun, 16 Apr 2023 14:12:40 GMT",982,158,982,158,6,https://api.github.com/repos/facebook/fatal
24776728,proxygen,facebook/proxygen,Organization,[],public,C++,https://api.github.com/repos/facebook/proxygen/languages,2014-10-03 23:18:42,"Sat, 22 Apr 2023 01:05:03 GMT",7792,1495,7792,1495,39,https://api.github.com/repos/facebook/proxygen
25880891,flow,facebook/flow,Organization,[],public,OCaml,https://api.github.com/repos/facebook/flow/languages,2014-10-28 17:17:45,"Sat, 22 Apr 2023 00:34:09 GMT",21979,1870,21979,1870,1735,https://api.github.com/repos/facebook/flow
27889694,wangle,facebook/wangle,Organization,[],public,C++,https://api.github.com/repos/facebook/wangle/languages,2014-12-11 20:12:30,"Thu, 20 Apr 2023 11:25:04 GMT",2973,536,2973,536,50,https://api.github.com/repos/facebook/wangle
