495519526,amzn/amazon-ads-advertiser-audience-normalization-sdk-py,Organization,[],public,Python,https://api.github.com/repos/amzn/amazon-ads-advertiser-audience-normalization-sdk-py/languages,2022-05-23 17:59:56,"Fri, 13 Jan 2023 18:26:35 GMT",4,2,4,2,0,0,0,1,-1,2,https://api.github.com/repos/amzn/amazon-ads-advertiser-audience-normalization-sdk-py
494254989,amzn/data-jack-knife,Organization,[],public,Java,https://api.github.com/repos/amzn/data-jack-knife/languages,2022-05-19 23:08:45,"Fri, 20 May 2022 06:53:04 GMT",1,2,1,2,0,0,0,1,-1,1,https://api.github.com/repos/amzn/data-jack-knife
492978607,amzn/ads-advanced-tools-docs,Organization,"['amazon', 'amazon-ads-api', 'amazon-marketing-stream']",public,,https://api.github.com/repos/amzn/ads-advanced-tools-docs/languages,2022-05-16 19:49:03,"Sat, 22 Apr 2023 01:23:24 GMT",45,23,45,23,2,0,-1,1,-1,6,https://api.github.com/repos/amzn/ads-advanced-tools-docs
491970698,amzn/ss-aga-kgc,Organization,[],public,Python,https://api.github.com/repos/amzn/ss-aga-kgc/languages,2022-05-13 16:35:55,"Wed, 22 Mar 2023 06:45:15 GMT",23,8,23,8,6,0,0,1,-1,2,https://api.github.com/repos/amzn/ss-aga-kgc
468461714,amzn/robotiq-gripper-interface,Organization,[],public,C++,https://api.github.com/repos/amzn/robotiq-gripper-interface/languages,2022-03-10 18:18:11,"Thu, 11 Aug 2022 04:46:20 GMT",2,3,2,3,1,0,0,1,-1,3,https://api.github.com/repos/amzn/robotiq-gripper-interface
465661586,amzn/amazon-succinct-doc-representation,Organization,[],public,Python,https://api.github.com/repos/amzn/amazon-succinct-doc-representation/languages,2022-03-03 09:56:51,"Thu, 29 Sep 2022 16:15:46 GMT",4,1,4,1,1,0,0,1,-1,1,https://api.github.com/repos/amzn/amazon-succinct-doc-representation
465503341,amzn/rheoceros,Organization,"['ai', 'aws', 'aws-emr', 'aws-glue', 'aws-lambda', 'bring-your-own-account', 'cloud', 'data-science', 'event-based', 'feature-engineering', 'flow', 'low-code-framework', 'machine-learning', 'pyspark', 'sagemaker-notebook', 'sagemaker-notebook-instance', 'scala-spark', 'serverless', 'spark']",public,Python,https://api.github.com/repos/amzn/rheoceros/languages,2022-03-02 23:36:02,"Thu, 09 Mar 2023 03:56:23 GMT",12,6,12,6,0,0,0,1,-1,3,https://api.github.com/repos/amzn/rheoceros
438379479,amzn/cosearcher,Organization,[],public,Python,https://api.github.com/repos/amzn/cosearcher/languages,2021-12-14 19:44:04,"Tue, 07 Feb 2023 14:30:59 GMT",4,3,4,3,1,0,0,1,-1,4,https://api.github.com/repos/amzn/cosearcher
431462375,amzn/trans-encoder,Organization,[],public,Python,https://api.github.com/repos/amzn/trans-encoder/languages,2021-11-24 11:44:32,"Fri, 14 Apr 2023 10:30:07 GMT",117,14,117,14,1,0,0,1,-1,4,https://api.github.com/repos/amzn/trans-encoder
429297502,amzn/amazon-codeguru-profiler-for-spark,Organization,[],public,Java,https://api.github.com/repos/amzn/amazon-codeguru-profiler-for-spark/languages,2021-11-18 04:37:55,"Thu, 09 Mar 2023 04:19:54 GMT",14,9,14,9,0,0,0,1,-1,1,https://api.github.com/repos/amzn/amazon-codeguru-profiler-for-spark
415609745,amzn/glad,Organization,"['architecture', 'diagram', 'generator', 'graph', 'javascript', 'layers', 'nodejs', 'npm', 'typescript', 'validation']",public,JavaScript,https://api.github.com/repos/amzn/glad/languages,2021-10-10 14:30:42,"Wed, 31 Aug 2022 18:31:19 GMT",8,3,8,3,1,1,0,1,-1,2,https://api.github.com/repos/amzn/glad
409222792,amzn/nimbus-jose-jwt_aws-kms-extension,Organization,"['aws', 'jose', 'jwe', 'jws', 'jwt', 'kms', 'nimbus-jose-jwt']",public,Java,https://api.github.com/repos/amzn/nimbus-jose-jwt_aws-kms-extension/languages,2021-09-22 13:48:53,"Sat, 09 Jul 2022 07:17:11 GMT",3,5,3,5,2,1,0,2,-1,2,https://api.github.com/repos/amzn/nimbus-jose-jwt_aws-kms-extension
405148233,amzn/multiconer-baseline,Organization,[],public,Python,https://api.github.com/repos/amzn/multiconer-baseline/languages,2021-09-10 16:40:36,"Mon, 27 Mar 2023 10:41:58 GMT",38,29,38,29,6,0,0,1,-1,3,https://api.github.com/repos/amzn/multiconer-baseline
397426400,amzn/amazon-frustration-free-setup-certification-tool,Organization,[],public,Python,https://api.github.com/repos/amzn/amazon-frustration-free-setup-certification-tool/languages,2021-08-18 00:30:56,"Sun, 27 Nov 2022 13:14:30 GMT",5,5,5,5,0,0,0,1,-1,2,https://api.github.com/repos/amzn/amazon-frustration-free-setup-certification-tool
392330982,amzn/fashion-attribute-disentanglement,Organization,[],public,Python,https://api.github.com/repos/amzn/fashion-attribute-disentanglement/languages,2021-08-03 13:40:57,"Mon, 13 Feb 2023 09:17:56 GMT",33,8,33,8,1,0,0,1,-1,2,https://api.github.com/repos/amzn/fashion-attribute-disentanglement
391178441,amzn/eslint-plugin-no-date-parsing,Organization,['eslint-plugin'],public,TypeScript,https://api.github.com/repos/amzn/eslint-plugin-no-date-parsing/languages,2021-07-30 20:11:02,"Wed, 29 Mar 2023 12:49:08 GMT",11,4,11,4,0,0,0,1,-1,2,https://api.github.com/repos/amzn/eslint-plugin-no-date-parsing
382844497,amzn/multimodal-affinities,Organization,[],public,Python,https://api.github.com/repos/amzn/multimodal-affinities/languages,2021-07-04 12:18:29,"Tue, 30 Aug 2022 05:39:57 GMT",5,5,5,5,0,0,0,1,-1,2,https://api.github.com/repos/amzn/multimodal-affinities
382814124,amzn/amazon-weak-ner-needle,Organization,"['bert', 'biomedical', 'biomedical-named-entity-recognition', 'distant-supervision', 'ner', 'weak-supervision', 'weakly-supervised-learning']",public,Python,https://api.github.com/repos/amzn/amazon-weak-ner-needle/languages,2021-07-04 09:40:16,"Tue, 14 Feb 2023 23:16:46 GMT",94,26,94,26,9,4,0,5,-1,3,https://api.github.com/repos/amzn/amazon-weak-ner-needle
381044204,amzn/firetv-sample-touch-app,Organization,"['amazon', 'android', 'apps', 'appstore', 'firetv', 'ott', 'sample', 'sample-app', 'samples', 'template', 'tv']",public,Java,https://api.github.com/repos/amzn/firetv-sample-touch-app/languages,2021-06-28 13:37:39,"Fri, 11 Nov 2022 22:10:05 GMT",10,6,10,6,1,0,0,1,-1,2,https://api.github.com/repos/amzn/firetv-sample-touch-app
379347556,amzn/supply-chain-simulation-environment,Organization,[],public,Python,https://api.github.com/repos/amzn/supply-chain-simulation-environment/languages,2021-06-22 17:18:09,"Fri, 17 Mar 2023 17:39:27 GMT",35,17,35,17,1,1,0,1,-1,2,https://api.github.com/repos/amzn/supply-chain-simulation-environment
371542292,amzn/refuel-open-domain-qa,Organization,[],public,Python,https://api.github.com/repos/amzn/refuel-open-domain-qa/languages,2021-05-28 01:01:41,"Wed, 04 Jan 2023 06:05:54 GMT",11,6,11,6,0,0,0,1,-1,3,https://api.github.com/repos/amzn/refuel-open-domain-qa
371131214,amzn/halo-third-party-sdk-for-python,Organization,[],public,Python,https://api.github.com/repos/amzn/halo-third-party-sdk-for-python/languages,2021-05-26 18:21:45,"Sat, 18 Mar 2023 19:46:09 GMT",3,5,3,5,0,0,0,4,-1,3,https://api.github.com/repos/amzn/halo-third-party-sdk-for-python
371130626,amzn/halo-third-party-sdk-for-java,Organization,[],public,Java,https://api.github.com/repos/amzn/halo-third-party-sdk-for-java/languages,2021-05-26 18:19:29,"Sat, 15 Apr 2023 00:03:47 GMT",5,4,5,4,0,0,0,4,-1,3,https://api.github.com/repos/amzn/halo-third-party-sdk-for-java
371129221,amzn/halo-third-party-sdk-for-node-js,Organization,[],public,TypeScript,https://api.github.com/repos/amzn/halo-third-party-sdk-for-node-js/languages,2021-05-26 18:13:35,"Fri, 07 Apr 2023 00:33:20 GMT",6,5,6,5,0,0,0,5,-1,3,https://api.github.com/repos/amzn/halo-third-party-sdk-for-node-js
369409385,amzn/amigitenough,Organization,[],public,Go,https://api.github.com/repos/amzn/amigitenough/languages,2021-05-21 04:06:08,"Mon, 06 Dec 2021 02:02:33 GMT",3,6,3,6,0,0,0,1,-1,0,https://api.github.com/repos/amzn/amigitenough
368813141,amzn/amazon-hub-support,Organization,[],public,PowerShell,https://api.github.com/repos/amzn/amazon-hub-support/languages,2021-05-19 09:24:57,"Tue, 07 Mar 2023 23:54:28 GMT",5,7,5,7,0,0,0,2,-1,2,https://api.github.com/repos/amzn/amazon-hub-support
364360221,amzn/ion-object-mapper-dotnet,Organization,[],public,C#,https://api.github.com/repos/amzn/ion-object-mapper-dotnet/languages,2021-05-04 19:10:41,"Sat, 20 Aug 2022 01:46:08 GMT",5,12,5,12,11,2,0,4,-1,10,https://api.github.com/repos/amzn/ion-object-mapper-dotnet
361620746,amzn/zero-shot-rlhr,Organization,[],public,Python,https://api.github.com/repos/amzn/zero-shot-rlhr/languages,2021-04-26 04:49:11,"Wed, 08 Mar 2023 11:29:36 GMT",42,13,42,13,1,0,0,1,-1,3,https://api.github.com/repos/amzn/zero-shot-rlhr
360592248,amzn/explainable-text-vqa,Organization,[],public,,https://api.github.com/repos/amzn/explainable-text-vqa/languages,2021-04-22 16:52:53,"Fri, 28 Oct 2022 17:02:14 GMT",8,5,8,5,2,0,0,1,-1,1,https://api.github.com/repos/amzn/explainable-text-vqa
342571959,amzn/image-to-recipe-transformers,Organization,[],public,Python,https://api.github.com/repos/amzn/image-to-recipe-transformers/languages,2021-02-26 12:40:03,"Sun, 02 Apr 2023 13:55:42 GMT",71,19,71,19,0,0,0,1,-1,2,https://api.github.com/repos/amzn/image-to-recipe-transformers
336979276,amzn/golang-gitoperations,Organization,[],public,Go,https://api.github.com/repos/amzn/golang-gitoperations/languages,2021-02-08 06:19:14,"Thu, 18 Aug 2022 06:48:50 GMT",5,5,5,5,0,0,0,1,-1,1,https://api.github.com/repos/amzn/golang-gitoperations
331769873,amzn/amazon-ray,Organization,[],public,Python,https://api.github.com/repos/amzn/amazon-ray/languages,2021-01-21 22:18:15,"Sun, 26 Feb 2023 20:27:39 GMT",55,22,55,22,11,1,0,1,-1,420,https://api.github.com/repos/amzn/amazon-ray
313583267,amzn/sparse-vqvae,Organization,"['sparse-coding', 'vqvae']",public,Python,https://api.github.com/repos/amzn/sparse-vqvae/languages,2020-11-17 10:26:05,"Sat, 27 Aug 2022 14:27:20 GMT",20,10,20,10,0,0,0,1,-1,3,https://api.github.com/repos/amzn/sparse-vqvae
313293017,amzn/aws-apigateway-client-lib,Organization,[],public,,https://api.github.com/repos/amzn/aws-apigateway-client-lib/languages,2020-11-16 12:20:29,"Mon, 06 Dec 2021 02:17:49 GMT",2,5,2,5,0,0,0,2,-1,1,https://api.github.com/repos/amzn/aws-apigateway-client-lib
307377926,amzn/amzn-ec2-ena-utilities,Organization,[],public,Python,https://api.github.com/repos/amzn/amzn-ec2-ena-utilities/languages,2020-10-26 13:15:33,"Sun, 27 Nov 2022 13:13:29 GMT",9,7,9,7,1,0,0,1,-1,2,https://api.github.com/repos/amzn/amzn-ec2-ena-utilities
306709802,amzn/credence-to-causal-estimation,Organization,['causalinference'],public,Python,https://api.github.com/repos/amzn/credence-to-causal-estimation/languages,2020-10-23 17:56:33,"Wed, 19 Apr 2023 09:52:18 GMT",21,14,21,14,1,0,0,7,-1,2,https://api.github.com/repos/amzn/credence-to-causal-estimation
304750374,amzn/image-misspell-coling2020,Organization,[],public,,https://api.github.com/repos/amzn/image-misspell-coling2020/languages,2020-10-16 22:23:04,"Mon, 12 Dec 2022 23:38:19 GMT",4,5,4,5,0,0,0,1,-1,2,https://api.github.com/repos/amzn/image-misspell-coling2020
286876809,amzn/pecos,Organization,"['approximate-nearest-neighbor-search', 'extreme-multi-label-classification', 'extreme-multi-label-ranking', 'machine-learning-algorithms', 'transformers']",public,Python,https://api.github.com/repos/amzn/pecos/languages,2020-08-12 00:25:51,"Thu, 20 Apr 2023 11:37:20 GMT",420,93,420,93,1,1,0,1,-1,23,https://api.github.com/repos/amzn/pecos
285929660,amzn/amazon-payment-files-tools,Organization,[],public,Kotlin,https://api.github.com/repos/amzn/amazon-payment-files-tools/languages,2020-08-07 22:14:01,"Sun, 27 Nov 2022 13:08:49 GMT",7,6,7,6,0,0,-1,1,-1,3,https://api.github.com/repos/amzn/amazon-payment-files-tools
283052597,amzn/selling-partner-api-models,Organization,[],public,Java,https://api.github.com/repos/amzn/selling-partner-api-models/languages,2020-07-28 00:31:42,"Sat, 22 Apr 2023 17:41:51 GMT",408,653,408,653,88,36,0,4,-1,21,https://api.github.com/repos/amzn/selling-partner-api-models
283051915,amzn/selling-partner-api-docs,Organization,[],public,HTML,https://api.github.com/repos/amzn/selling-partner-api-docs/languages,2020-07-28 00:27:54,"Fri, 21 Apr 2023 14:37:43 GMT",1412,835,1412,835,199,2,0,3,-1,26,https://api.github.com/repos/amzn/selling-partner-api-docs
273554975,amzn/distance-assistant,Organization,[],public,Python,https://api.github.com/repos/amzn/distance-assistant/languages,2020-06-19 17:51:29,"Tue, 15 Nov 2022 04:23:35 GMT",132,36,132,36,8,2,0,1,-1,4,https://api.github.com/repos/amzn/distance-assistant
271956469,amzn/workspace-resolver,Organization,[],public,JavaScript,https://api.github.com/repos/amzn/workspace-resolver/languages,2020-06-13 06:48:39,"Sun, 12 Mar 2023 02:36:40 GMT",5,5,5,5,0,0,0,1,-1,3,https://api.github.com/repos/amzn/workspace-resolver
270739077,amzn/awsssmchaosrunner,Organization,"['aws', 'aws-fis', 'aws-ssm', 'chaos-engineering', 'ec2', 'ecs', 'failure-injection', 'fault-injection-simulator', 'kotlin', 'ssm']",public,Kotlin,https://api.github.com/repos/amzn/awsssmchaosrunner/languages,2020-06-08 16:21:19,"Mon, 03 Apr 2023 17:21:11 GMT",234,19,234,19,1,0,-1,1,-1,6,https://api.github.com/repos/amzn/awsssmchaosrunner
